Year ,Neighborhood,Mortgage Affordability,Small Business Investment
2016,Allendale/Irvington/S. Hilton,45.51920341,995161.2903
2016,Beechfield/Ten Hills/West Hills,36.03133159,300400
2016,Belair-Edison,38.76717416,572131.1475
2016,Brooklyn/Curtis Bay/Hawkins Point,29.53367876,2007750
2016,Canton,23.38334196,1309560.61
2016,Cedonia/Frankford,39.9607953,223582.0896
2016,Cherry Hill,36.16071429,225000
2016,Chinquapin Park/Belvedere,39.19206237,1203649.635
2016,Claremont/Armistead,40.31007752,2143072.289
2016,Clifton-Berea,51.43603133,303125
2016,Cross-Country/Cheswolde,38.05243446,1312820.513
2016,Dickeyville/Franklintown,22.22222222,646590.9091
2016,Dorchester/Ashburton,36.33049818,393137.2549
2016,Downtown/Seton Hill,35.71428571,898871.6474
2016,Edmondson Village,46.91865242,1091666.667
2016,Fells Point,22.07876049,1808488.372
2016,Forest Park/Walbrook,32.60672116,570930.2326
2016,Glen-Fallstaff,39.65046423,705882.3529
2016,Greater Charles Village/Barclay,39.40972222,488837.0873
2016,Greater Govans,45.99236641,97709.92366
2016,Greater Mondawmin,33.54271357,345866.1417
2016,Greater Roland Park/Poplar Hill,28.26362484,776685.1124
2016,Greater Rosemont,47.50166556,586885.2459
2016,Greenmount East,50.95846645,141463.4146
2016,Hamilton,40.38271198,905128.2051
2016,Harbor East/Little Italy,50.99778271,4491720.43
2016,Harford/Echodale,36.71052632,563786.7647
2016,Highlandtown,20.85201794,3130144.928
2016,Howard Park/West Arlington,44.66292135,1592537.313
2016,Inner Harbor/Federal Hill,25.12901945,7544585.75
2016,Lauraville,33.64485981,664179.1045
2016,Loch Raven,36.42671292,425141.2429
2016,Madison/East End,41.62679426,181707.3171
2016,Medfield/Hampden/Woodberry/Remington,25.53640521,2128973.814
2016,Midtown,23.31560284,1257961.991
2016,Midway/Coldstream,44.332211,1352432.432
2016,Morrell Park/Violetville,33.67834395,2292467.532
2016,Mount Washington/Coldspring,30.33707865,1575229.358
2016,North Baltimore/Guilford/Homeland,30.52018916,727762.6685
2016,Northwood,41.47196262,190689.6552
2016,Oldtown/Middle East,34.08360129,1418802.774
2016,Orangeville/East Highlandtown,38.26578699,1735051.546
2016,Patterson Park North & East,24.70588235,659467.4556
2016,Penn North/Reservoir Hill,35.52915767,339179.1045
2016,Pimlico/Arlington/Hilltop,50.04009623,263879.5987
2016,Poppleton/The Terraces/Hollins Market,30.59490085,5896431.092
2016,Sandtown-Winchester/Harlem Park,40.96671949,315536.7232
2016,South Baltimore,20.09884679,1198178.09
2016,Southeastern,50.92724679,2914801.087
2016,Southern Park Heights,49.13043478,319325.1534
2016,Southwest Baltimore,30.76923077,880416.6667
2016,The Waverlies,32.74336283,1425546.108
2016,Upton/Druid Heights,25.87155963,123026.3158
2016,Washington Village/Pigtown,38.86363636,2393633.54
2016,Westport/Mount Winans/Lakeland,45.25,1817980.296
2017,Allendale/Irvington/S. Hilton,43.4559851,339010.989
2017,Beechfield/Ten Hills/West Hills,33.64806867,331889.7638
2017,Belair-Edison,40.08248969,500662.2517
2017,Brooklyn/Curtis Bay/Hawkins Point,23.49726776,2160521.72
2017,Canton,20.20148462,2454866.456
2017,Cedonia/Frankford,39.44877506,440166.6667
2017,Cherry Hill,26.92307692,447058.8235
2017,Chinquapin Park/Belvedere,37.54410727,1154392.52
2017,Claremont/Armistead,46.78899083,2111708.861
2017,Clifton-Berea,48.75621891,365094.3396
2017,Cross-Country/Cheswolde,39.22413793,1723295.455
2017,Dickeyville/Franklintown,21.3836478,491666.6667
2017,Dorchester/Ashburton,39.61267606,353985.5072
2017,Downtown/Seton Hill,50.23041475,858518.5185
2017,Edmondson Village,43.34203655,232978.7234
2017,Fells Point,22.88188002,1714340.102
2017,Forest Park/Walbrook,33.74667848,173076.9231
2017,Glen-Fallstaff,37.46701847,1015894.04
2017,Greater Charles Village/Barclay,34.47154472,498719.5903
2017,Greater Govans,46.95759066,168376.0684
2017,Greater Mondawmin,40.91456077,866210.0457
2017,Greater Roland Park/Poplar Hill,25.01676727,671382.6367
2017,Greater Rosemont,47.45417515,725376.8844
2017,Greenmount East,53.40136054,585643.5644
2017,Hamilton,35.68340539,413953.4884
2017,Harbor East/Little Italy,37.52808989,14092500
2017,Harford/Echodale,33.81483913,854258.9494
2017,Highlandtown,18.51851852,3260161.29
2017,Howard Park/West Arlington,42.72675414,659625.6684
2017,Inner Harbor/Federal Hill,23.85433715,4273664.008
2017,Lauraville,27.89553369,763736.2637
2017,Loch Raven,34.78441128,247206.7039
2017,Madison/East End,34.14634146,139436.6197
2017,Medfield/Hampden/Woodberry/Remington,24.36069987,1616495.096
2017,Midtown,20.37533512,1171676.892
2017,Midway/Coldstream,38.28740157,529487.1795
2017,Morrell Park/Violetville,35.1993865,1904353.562
2017,Mount Washington/Coldspring,30.68181818,3492548.077
2017,North Baltimore/Guilford/Homeland,28.24005891,702890.1734
2017,Northwood,40.70038911,317716.5354
2017,Oldtown/Middle East,37.11656442,1881158.955
2017,Orangeville/East Highlandtown,34.91644679,1568495.575
2017,Patterson Park North & East,23.5386426,1250373.134
