OBJECTID,CSA2010,smlinvst16,smlinvst17,smlinvst18,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,995161.2903,339010.989,465641,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,300400,331889.7638,415546,47882527.7110596,37524.9505334171
3,Belair-Edison,572131.1475,500662.2517,891509,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,2007750,2160521.72,17094610,176077742.748718,150987.703638772
5,Canton,1309560.61,2454866.456,20209194,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,223582.0896,440166.6667,486306,71541340.3063965,39962.5498347165
7,Cherry Hill,225000,447058.8235,893033,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,1203649.635,1154392.52,843802,21022590.1307373,21705.411630344
9,Claremont/Armistead,2143072.289,2111708.861,2580000,61243774.4211426,40104.415980189
10,Clifton-Berea,303125,365094.3396,475391,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,1312820.513,1723295.455,2691503,38222018.3164673,26788.3018783838
12,Dickeyville/Franklintown,646590.9091,491666.6667,92453,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,393137.2549,353985.5072,232566,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,898871.6474,858518.5185,1406543,20736554.4064941,21565.859394559
15,Edmondson Village,1091666.667,232978.7234,589815,23563061.0443115,21504.551357829
16,Fells Point,1808488.372,1714340.102,3787813,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,570930.2326,173076.9231,400403,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,705882.3529,1015894.04,790185,46995477.4781494,48549.0046179293
19,Greater Charles Village/Barclay,488837.0873,498719.5903,903061,27051213.4559937,26454.2692113332
20,Greater Govans,97709.92366,168376.0684,250943,22698495.7178955,22982.125714974
21,Greater Mondawmin,345866.1417,866210.0457,1030519,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,776685.1124,671382.6367,1696724,56688145.1790161,39862.7497953118
23,Greater Rosemont,586885.2459,725376.8844,518388,42204384.5406494,32559.0762211491
24,Greenmount East,141463.4146,585643.5644,346759,19072287.8240967,20797.4734578598
25,Hamilton,905128.2051,413953.4884,380328,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,4491720.43,14092500,5960000,10215859.0836182,18552.4075815937
27,Harford/Echodale,563786.7647,854258.9494,479681,65360039.1698608,40019.1854001996
28,Highlandtown,3130144.928,3260161.29,1193393,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,1592537.313,659625.6684,347074,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,7544585.75,4273664.008,1914962,24995836.2615967,43415.0595478862
31,Lauraville,664179.1045,763736.2637,928415,49665744.2354736,34419.676527973
32,Loch Raven,425141.2429,247206.7039,264865,44147812.3265381,29314.3346718286
33,Madison/East End,181707.3171,139436.6197,579310,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,2128973.814,1616495.096,1863532,62441489.2398071,43152.625699222
35,Midtown,1257961.991,1171676.892,1344167,23823949.9294434,25020.0969698082
36,Midway/Coldstream,1352432.432,529487.1795,1890252,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,2292467.532,1904353.562,2648093,67470845.9901123,44412.745130342
38,Mount Washington/Coldspring,1575229.358,3492548.077,2341791,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,727762.6685,702890.1734,1216960,74923987.6937256,42904.2221443544
40,Northwood,190689.6552,317716.5354,648624,52743271.7706299,38889.8945908862
41,Oldtown/Middle East,1418802.774,1881158.955,4465223,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,1735051.546,1568495.575,1334932,89894372.2113037,47825.8629266244
43,Patterson Park North & East,659467.4556,1250373.134,726136,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,339179.1045,518181.8182,475221,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,263879.5987,147147.651,491054,30400962.0054932,24725.9340693612
46,Poppleton/The Terraces/Hollins Market,5896431.092,1010824.742,14821078,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,315536.7232,325649.3506,226689,23672092.8682861,20987.1433066354
48,South Baltimore,1198178.09,11065730.41,1363115,46353935.4255981,68440.0258266401
49,Southeastern,2914801.087,2124381.327,4167104,111251478.472229,102291.480547698
50,Southern Park Heights,319325.1534,773913.0435,934375,27876227.5908203,24052.221372193
51,Southwest Baltimore,880416.6667,736222.9102,626590,37766068.8365479,28355.563581391
52,The Waverlies,1425546.108,6334891.411,1010369,20383750.5437012,18733.826879757
53,Upton/Druid Heights,123026.3158,159090.9091,417257,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,2393633.54,2155083.559,1657123,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,1817980.296,2641060.651,3146243,45494092.9501953,42573.1244161851
